atm_id,month,day,service,atm_street_number,atm_zipcode,atm_lat,atm_lon,temp,pressure,humidity,wind_speed,wind_deg,rain_3h,clouds_all,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,atm_status_Active,atm_status_Inactive,atm_manufacturer_Diebold Nixdorf,atm_manufacturer_NCR,atm_location_Bindslev,atm_location_Bryggen  Vejle,atm_location_Frederiksberg,atm_location_Hobro,atm_location_Hørning Hallen,atm_location_Intern  Skive,atm_location_Jebjerg,atm_location_Odense,atm_location_Storvorde,atm_location_Viborg,atm_streetname_Adelgade,atm_streetname_Fælledvej,atm_streetname_Gammel Kongevej,atm_streetname_Kirkegade,atm_streetname_Nørrebro,atm_streetname_Sønderbrogade,atm_streetname_Toftevej,atm_streetname_Toldboden,atm_streetname_Vandværksvej,weather_main_Clear,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Mist,weather_main_Rain,weather_main_Snow,weather_main_Thunderstorm
18,2,1,68,3,8800,56.44774747,9.40115181,275.129764705882,1019.08823529412,91.6029411764706,3.42647058823529,147.617647058824,0,77.1470588235294,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,2,53,3,8800,56.44774747,9.40115181,274.508490566038,1008.67924528302,99.2452830188679,3.43396226415094,139.056603773585,0,87.4528301886792,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,2,3,64,3,8800,56.44774747,9.40115181,275.74375,1004.625,98.578125,3.5,124.84375,0,90.15625,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,2,4,25,3,8800,56.44774747,9.40115181,276.39,1001.8,98.04,3.52,119.2,0,89.04,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,2,5,30,3,8800,56.44774747,9.40115181,275.944733333333,1008.53333333333,98.3333333333333,5.03333333333333,88.3333333333333,0,88.6333333333333,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
18,2,6,38,3,8800,56.44774747,9.40115181,275.15,1024.92105263158,92,5.57894736842105,82.6315789473684,0,57.8947368421053,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,7,32,3,8800,56.44774747,9.40115181,271.99375,1028.25,83.09375,6.71875,85.3125,0,72.53125,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,2,8,45,3,8800,56.44774747,9.40115181,271.216666666667,1034.02222222222,80.1555555555556,7.44444444444444,72.6666666666667,0,58.6222222222222,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,2,9,49,3,8800,56.44774747,9.40115181,271.741836734694,1035.02040816327,82.3061224489796,3.93877551020408,65.1020408163265,0,74.6326530612245,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,2,10,60,3,8800,56.44774747,9.40115181,272.583333333333,1031.98333333333,85.6666666666667,6.26666666666667,86.5,0,83.3666666666667,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,11,25,3,8800,56.44774747,9.40115181,274.27,1033.2,71.04,8.44,82.4,0,65.28,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,12,15,3,8800,56.44774747,9.40115181,273.283333333333,1037.8,74.1333333333333,5.8,81.3333333333333,0,60,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,13,33,3,8800,56.44774747,9.40115181,273.210606060606,1039,79.7575757575758,2.33333333333333,110.575757575758,0,31.3636363636364,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,14,34,3,8800,56.44774747,9.40115181,271.119558823529,1044.41176470588,82,1.85294117647059,108.205882352941,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,2,15,39,3,8800,56.44774747,9.40115181,273.541435897436,1039.53846153846,80.5384615384615,1.51282051282051,191.230769230769,0,3.17948717948718,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,2,16,30.543366197193976,3,8800,56.44774747,9.40115181,278.967205128205,1027.61538461538,93.5384615384615,6.46153846153846,241.307692307692,9.455,87.3846153846154,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2,17,32.82385987848975,3,8800,56.44774747,9.40115181,277.303931818182,1026.06818181818,96.7727272727273,1.75,266.068181818182,3.665,81.4545454545455,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2,18,23,3,8800,56.44774747,9.40115181,277.384217391304,1028.26086956522,97.0434782608696,5.21739130434783,261.260869565217,0.145,74.4347826086957,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,19,14.113688890892082,3,8800,56.44774747,9.40115181,279.673684210526,1017.89473684211,97.5789473684211,5.94736842105263,269.315789473684,5.5,89.8947368421053,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2,20,28.700577349308876,3,8800,56.44774747,9.40115181,281.088658536585,1006.09756097561,95.9756097560976,8.02439024390244,269.243902439024,39.9325,91.609756097561,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2,21,40,3,8800,56.44774747,9.40115181,279.369576510318,1010.075,87.75,9.4,286.575,1.125,64.825,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,22,24.842048409976996,3,8800,56.44774747,9.40115181,279.835714285714,987.6,77.7428571428571,11.2285714285714,260.285714285714,3.73,68.9428571428571,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2,23,52,3,8800,56.44774747,9.40115181,277.226923076923,987.057692307692,87.5384615384615,2.36538461538462,182.307692307692,0.99,67.8846153846154,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,2,24,40,3,8800,56.44774747,9.40115181,276.075,1005.2,73.05,5.875,282,0,10.8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,2,25,26,3,8800,56.44774747,9.40115181,276.611538461538,1007.30769230769,92.8461538461538,4.53846153846154,195,0,61.2307692307692,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,2,26,14.280238966038452,3,8800,56.44774747,9.40115181,279.728947368421,1000.10526315789,98.8947368421053,4.05263157894737,226.315789473684,0,84.2105263157895,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,2,27,26,3,8800,56.44774747,9.40115181,280.688461538462,992.692307692308,96.2307692307692,3.46153846153846,188.846153846154,0,88.5769230769231,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
